TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
FOS	7	1.4303240048386977e-07	0.05909729209995575	0.001373804738628511	8.231576993905388e-16	0.22178859976283635	0.002065298498814768	0.4040337751963702	0.07190015888089041	5.901942026716415e-09	1.9080988917606875e-12	7.589227880892215e-08	3.435508479061657e-06	7.733839642990846e-17	3.846121021324172e-15	1.9312310341743905e-09
NKX25	2	9.5475787731075e-05	0.039745934795242396	1.7531403756230833e-05	0.050516351621636015	0.0008028237476231485	0.04267078571455831	0.2122015337708709	0.0014081443287647666	0.05201286188598205	1.8000640953369694e-14	3.5732954606310194e-14	0.13294184403954487	0.11812173842570609	1.3890388742965918e-07	0.00019890422244638368
NKX32	2	3.3697541911962894e-05	3.0410432862681292e-05	0.10177929287785625	6.406384144152255e-10	7.775402862550302e-06	2.5408084926571e-09	0.32490764671050054	6.385358807537506e-07	0.10785647361995304	1.843420485745263e-05	0.0047377306918079485	0.10827112274033387	2.167890410376879e-05	3.200429726230989e-08	4.2329269538199556e-07
KMT2C	9	1.8546911974921944e-17	0.00025137587527147495	0.0050307411356461	2.8951235404120416e-40	1.3543768811770346e-12	7.05716456008571e-23	0.05204123272930834	1.845772081286117e-15	8.298540841699339e-12	3.071192597310252e-42	1.7506472030274378e-13	0.05292291237286285	4.9308751354895935e-14	1.8558228073801486e-33	7.846442359315367e-27
PRDM9	1	0.015311569451866071	0.0015561374751878957	2.371063861127019e-05	0.21310123536418332	0.11027743375052267	0.012836481371951421	0.049162538345760814	0.40496651984910653	1.3432720245062728e-05	0.0361433575432619	0.002113487292140688	0.34224317146914524	0.010511171835422493	0.13005608639047186	0.365935010834536
HXD13	1	0.0752532679518909	0.14980125535998295	0.476490160385249	0.32104858528027547	0.025451097670217752	0.006648079675622795	0.011617174886521909	0.1145938296712745	1.3741977483964076e-05	0.3537967239664376	0.45198994556321576	0.38133553149231836	0.3619036754547212	0.38530766613469025	0.30967826561911427
SUV91	1	0.012581970982664118	0.021139623999561038	0.4006167830127457	0.028863379833067443	0.02681725005560168	0.0027661765033237936	0.03102743249354277	0.08166719872419499	0.41217484976745367	0.047218612021026715	0.08827353580324944	0.00195777859776378	0.0042695596769044735	0.00045502955948615307	8.298675762081178e-06
MBD4	4	0.0020069892705002383	0.0008565750109319134	0.004814260811411913	0.0020353921630341817	0.19554415821731988	0.08222868624834836	0.07029449340247115	0.41527850217197876	0.10820674438790441	4.798089037845593e-06	2.0893406298745314e-06	3.8758144645349256e-08	0.09292470915865136	0.05106378550815637	2.1888679613935977e-05
UBF1	3	4.771154678152017e-14	0.0001775403742939588	3.6202419143169375e-07	8.875789728063072e-19	1.9129178740007187e-08	0.020300828898078518	1.2181352288186293e-06	2.049358020354915e-13	5.969582069278951e-11	2.0091763813072807e-45	8.63437859786897e-14	0.004958065183798283	1.460287549913134e-26	1.5044909011812936e-25	5.077273127301697e-10
ZKSC1	2	0.006966904702778863	0.21350981933335306	0.001373804738628511	1.1751534032078186e-12	0.2852510824834999	0.00048332421677493056	0.06578329417709297	0.014689639930485134	0.23639442204601951	0.033839394380002864	0.44374899366745557	0.4484717538329136	0.0023282427137516124	0.4375391083397527	0.008522180280726318
DNJC2	1	0.0007785096547441336	0.20383980246856742	0.4571807137464402	0.07964572650251504	0.010644137877368492	7.10267929225954e-05	1.147723437277719e-08	3.0411030798471253e-13	2.7009728420673262e-05	0.010687590731585043	0.2714820565964951	0.38568995864759736	0.11619507731120976	0.001609299642502777	0.00027136350735368895
