TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NKX61	1	-1.26179960121	2.94066219782	3.85500874487	7.17960373086	5.31645453139	8.6452210148	-3.74729915493	4.88110600729	-7.07080184832	-9.57575322969	-6.35783489983	-1.56474805821	-6.3494576597	-7.28249182232	-8.53486397095
HEXI1	1	-0.881150580099	-0.686035879958	-2.12433778153	-1.8924986579	1.11329206142	-2.9542411848	-0.207324537368	0.655241926198	0.676812695966	0.149240554761	-0.241852354802	-1.12439163914	-1.54612607374	-0.406586345642	-3.74730090485
EHMT2	2	-0.465175304687	0.259663808241	-0.021348139746	0.374763384234	-0.316327801996	-2.83668695069	-0.77632232809	0.149396703866	0.421800908804	-2.55394781797	-1.82225845709	0.772387538604	0.677738029026	-1.05731893723	0.216005794427
DNM3B	7	-1.34303180554	-2.67560501739	1.07311354045	-0.414979617677	0.590260825876	-1.19199960203	3.99708772769	6.76313917773	1.40517191311	-5.84940067237	-5.43581271372	-4.49131235975	-3.04523251364	-4.67568902974	-4.85118693605
SETB1	2	0.286019180217	1.27186528694	2.71761429094	4.44534728696	3.32523969369	1.50509607285	5.18172630274	1.88246494669	-0.248947133247	-4.46358935384	-4.27385193009	-0.304883937096	-3.54572979946	-1.86922365072	-1.61885955333
SIX2	1	-1.01626975556	1.32640893547	1.96123819605	0.82948594255	-0.794614739819	-2.92563883899	-0.751175068051	0.0168673402153	-1.18607288686	-3.57488449893	-4.38663293732	-1.77232723723	-1.29974445201	-1.2152802462	-0.455406086725
LDB1	4	-2.01724851927	-4.7325737884	-2.55651919721	6.08764196497	-0.579991750611	1.6788006988	-4.24908158649	2.06647176918	-4.97006766386	-7.19860068367	-1.1868360891	-1.47557196593	-3.87963806133	-3.91863803576	-3.32687488031
P53	7	-2.42229178492	-1.21699260544	0.351898303031	7.27012391527	5.3265812484	3.76028422308	-0.691448664217	7.32803476082	-1.37875525226	-13.2029803611	-9.56198410138	-3.42733168746	-6.53083944473	-11.6340725968	-10.3046027261
PO3F2	3	1.68368459207	6.66088983378	5.07657149242	3.82526552886	4.63330430997	2.71813943636	3.97093017902	2.90818210263	2.22809164849	-1.93965598663	-4.44505436659	-0.980913340291	-0.229179502946	-0.789422227896	-0.0655648181318
RORA	1	0.922809804361	4.72305665968	-0.582567303125	2.76198268624	3.23915097265	5.83165922846	-2.68310726652	6.39130227374	-1.27111693203	-2.86613433483	0.665282884775	1.05141133693	-1.77754607654	-1.41354121563	-1.15049565275
WDR5	4	-1.83418910302	4.02243913232	-3.72257535205	8.65298571765	6.59695495567	6.74559929916	-4.0652073886	6.73944475833	-6.6706450107	-13.9895942708	-6.63976052046	-1.85653479999	-5.9986611623	-8.52430635357	-6.96878644689
ERR2	6	-3.22157150201	1.4758938669	2.35317661687	-0.427431370363	1.42692633969	2.75943360503	-2.65125320983	0.200760141212	-4.48874927444	-6.51657497098	-9.93084005429	-6.11033228633	-7.59328563512	-6.78743755022	-8.81228724629
PAX7	1	-2.7051357855	1.20902762456	-1.92401559473	-0.782240296806	-0.0370937787684	-1.91133658171	-0.62642967608	-2.73924628379	-1.06768921947	-3.11506089156	-5.25987472252	-5.18843277145	-4.23382666422	-5.7464522507	-6.44922988978
KDM6B	5	-2.23727949955	1.68296906645	-0.1958208766	11.3076264035	7.59943194159	5.82619792538	-2.88276599589	5.93133632376	-6.34383506838	-13.1604453061	-8.10896166203	-2.89471536572	-8.32446565555	-11.0413191215	-10.7171456026
MITF	1	0.0898126914101	0.637697382405	0.796224750659	4.21036619227	2.14883358796	3.82359138676	-0.710581284315	3.49005800082	-1.50500621232	-2.32950130798	-0.583385709078	0.956407217586	-4.8276670582	-2.92400462838	-1.92565463844
TBP	14	0.641709921472	6.88011182886	-2.47048646511	15.0581237438	8.54728321542	12.5842227247	-1.87624086799	11.0356566784	-6.78875228681	-11.9455415098	-2.33284654722	2.07868874098	-7.33565083749	-8.37147315608	-6.07915636105
GATA4	10	-2.17173711817	0.126898713769	-2.00441764312	6.52600745904	5.65938269768	1.94634434208	-0.924362549314	6.84094760423	-2.5903941838	-12.2493293776	-8.64299161725	-1.40799954407	-5.7962718695	-9.38531580865	-8.50281787786
ZMIZ1	2	2.20420805423	2.25947683401	-3.99521654682	9.88742187048	5.74731274406	6.8140187474	-2.62701789604	10.796113831	-3.53454219791	-7.18583460092	3.79645217672	6.82799223271	0.0523668081778	-0.323053389948	2.34342214629
